text,philosopher,work,original_idx
"Again, to draw a paradoxical statement, look and see to what school the person arguing with you belongs, and then question him as to some point wherein their doctrine is paradoxical to most people; for with every school there is some point of that kind.",Aristotle,Aristotle - Complete Works,44622
"It is already progress to invoke the complementarity of force and the ground as the sufficient reason of form, matter and their union.",Deleuze,Difference And Repetition,212002
"Platonic love is an intensely affectionate, but not a sexual, relationship; but with Socrates and Alcibiades it was also a teaching relationship, in which Socrates tried to help Alcibiades make the transition to manhood by his stimulating conversation.",Plato,Plato - Complete Works,12502
"To be sure, thou wouldst call it by name and caress it; thou wouldst pull its ears and amuse thyself with it.",Nietzsche,Thus Spake Zarathustra,336797
"Now in the time it either is in motion or is not in motion, and the same is likewise true of the time.",Aristotle,Aristotle - Complete Works,47039
"This assumption, then, must be made, and also the following: that it is easier to perceive each object of sense when in its simple form than when an ingredient in a mixture; easier, for example, to perceive wine when neat than when blended, and so also honey, and a colour, or to discern a note by itself alone, than in a chord; the reason being that component elements tend to efface one another.",Aristotle,Aristotle - Complete Works,54132
"The four theories of the proposition, of articulation, of designation, and of derivation form, as it were, the segments of a quadrilateral.",Foucault,The Order Of Things,197681
"But what racking pains, on the other hand, arise from gouts, gravels, megrims, toothaches, rheumatisms, where the injury to the animal machinery is either small or incurable?.",Hume,Dialogues Concerning Natural Religion,103979
"These have truth value in describing actual or counterfactual situations; in particular, such a fictional detective does in fact exist, but we can easily suppose counterfactual situations in which that detective wouldn't have existed, namely, situations where neither Doyle, nor (perhaps) anyone else, wrote or conceived such stories.",Kripke,Philosophical Troubles,175442
"On the basis of which signs within sensibility, by which treasures of the memory, under torsions determined by the singularities of which Idea will thought be aroused?.",Deleuze,Difference And Repetition,209907
"And what might this analogue We saw that modal logic a term is a rigid designator if I (x ai, where 'a stands for the term; so the parallel condition for the logic of belief is that I,(x ai, Tom is our man.",Quine,Quintessence,165613
"distribution, it is obvious that the primitive social machine is fI,) territorial.",Deleuze,Anti-Oedipus,215407
"the passive separatednessofthe shapes in the general medium of independence, and the process of Life, collapse into one another.",Hegel,The Phenomenology Of Spirit,279505
bound varia bles to refer to entities which belong to McX's ontology and not to mine.,Quine,Quintessence,162390
"This notwithstanding, there has been much talk in recent times to the effect that the state should grow out of religion.",Hegel,Elements Of The Philosophy Of Right,289012
"If, therefore, we experience that something happens, then we always presuppose that something else precedes it, which it follows in accordance with a rule.",Kant,Critique Of Pure Reason,257016
